Geography,Population Estimate (as of July 1) - 2018
"Lyndon Station village, Wisconsin",480
"Clarence village, Louisiana",480
"Sudlersville town, Maryland",480
"Bonneau town, South Carolina",480
"Pollock town, Louisiana",480
"Pillager city, Minnesota",480
"Murray village, Nebraska",480
"Cowen town, West Virginia",479
"Whittemore city, Iowa",479
"Erskine city, Minnesota",479
"Corn town, Oklahoma",479
"Thompson city, Iowa",479
"Nassawadox town, Virginia",479
"Beacon city, Iowa",479
"Altura city, Minnesota",479
"Kandiyohi city, Minnesota",479
"Jumpertown town, Mississippi",479
"Depew town, Oklahoma",479
"Kanosh town, Utah",479
"Jayton city, Texas",478
"Fairview village, Illinois",478
"Bruceville town, Indiana",478
"Dover town, Oklahoma",478
"Warner town, South Dakota",478
"Wamsutter town, Wyoming",478
"Simpson village, North Carolina",478
"McNeil city, Arkansas",477
"Latimer city, Iowa",477
"Lime Springs city, Iowa",477
"Bertha city, Minnesota",477
"Red Level town, Alabama",477
"Bayfield city, Wisconsin",477
"Lyons borough, Pennsylvania",477
"Smyer town, Texas",477
"Fife Lake village, Michigan",477
"Nichols village, New York",476
"Amsterdam village, Ohio",476
"Sidon town, Mississippi",476
"Unionville village, Michigan",476
"Melrose village, Wisconsin",476
"Bowdle city, South Dakota",476
"Argonia city, Kansas",476
"Naplate village, Illinois",476
"Verona village, Ohio",476
"Withee village, Wisconsin",476
"Star Harbor city, Texas",476
"Melbourne city, Kentucky",476
"Beech Bottom village, West Virginia",475
"Protection city, Kansas",475
"Kingman town, Indiana",475
"Hallsburg city, Texas",475
"Hunter village, New York",475
"Hyde Park borough, Pennsylvania",475
"Sorento village, Illinois",475
"Riverside village, New York",475
"Breda city, Iowa",475
"Argusville city, North Dakota",475
"Stonewall town, Oklahoma",475
"Holt city, Missouri",475
"Greenville city, Missouri",474
"Rose City city, Texas",474
"Haysi town, Virginia",474
"Roxie town, Mississippi",474
"Collins city, Iowa",474
"Bancroft village, Nebraska",474
"South Wayne village, Wisconsin",474
"Tallula village, Illinois",474
"Oak Park town, Georgia",474
"Holton town, Indiana",474
"Wilbur Park village, Missouri",474
"Buffalo Gap town, Texas",474
"Gateway town, Arkansas",474
"Gilmore City city, Iowa",473
"Neelyville city, Missouri",473
"Cortland village, Nebraska",473
"Hecker village, Illinois",473
"Brewster city, Minnesota",473
"Butterfield city, Missouri",473
"Broadus town, Montana",473
"Loganton borough, Pennsylvania",473
"Glenwood town, Utah",473
"Fielding town, Utah",473
"Portage village, Ohio",473
"Lyman town, Washington",473
"Potts Camp town, Mississippi",472
"Marianna borough, Pennsylvania",472
"Rothsay city, Minnesota",472
"Chrisney town, Indiana",472
"Ducktown city, Tennessee",472
"Kendall village, Wisconsin",472
"Pewamo village, Michigan",472
"Plymouth village, Illinois",471
"East Carondelet village, Illinois",471
"Lost Creek town, West Virginia",471
"Dean city, Texas",471
"Mackinac Island city, Michigan",471
"Appleby city, Texas",471
"Bedias city, Texas",471
"Clintonville borough, Pennsylvania",470
"Klemme city, Iowa",470
"University Park city, Iowa",470
"East Arcadia town, North Carolina",470
"Fort Ann village, New York",470
"Wheatland town, Indiana",470
"Coalton village, Ohio",470
"Pacific Junction city, Iowa",470
"Francisco town, Indiana",470
"Oacoma town, South Dakota",470
"Hewlett Neck village, New York",470
"Caldwell town, Arkansas",469
"Morven town, North Carolina",469
"Dakota village, Illinois",469
"North Hampton village, Ohio",469
"Taylor village, Wisconsin",469
"Penn borough, Pennsylvania",469
"Galena city, Alaska",469
"Nezperce city, Idaho",469
"Delhi city, Iowa",469
"Bellefonte town, Arkansas",469
"Riverwood city, Kentucky",469
"Franklin city, Minnesota",468
"Fort Johnson village, New York",468
"Iuka village, Illinois",468
"Junction City village, Illinois",468
"Leeds city, North Dakota",468
"Kiester city, Minnesota",467
"Irving village, Illinois",467
"Seward borough, Pennsylvania",467
"Harrisville city, Michigan",467
"Alford town, Florida",467
"Emden village, Illinois",467
"Petersburg borough, Pennsylvania",467
"Urbanna town, Virginia",467
"Martensdale city, Iowa",467
"Tremont town, Mississippi",467
"Lafe town, Arkansas",467
"Spring Bay village, Illinois",467
"Hector town, Arkansas",467
"Salesville city, Arkansas",467
"Corwin village, Ohio",467
"Chefornak city, Alaska",467
"Colton town, Washington",467
"Summit town, South Carolina",467
"Stacyville city, Iowa",466
"Red River town, New Mexico",466
"Palmer village, Nebraska",466
"Dumas town, Mississippi",466
"Prue town, Oklahoma",466
"St. Joe town, Indiana",466
"Lynd city, Minnesota",466
"Ione town, Washington",466
"Manalapan town, Florida",466
"Idaho City city, Idaho",465
"Denver town, Indiana",465
"Norwood village, Illinois",465
"Sterling village, Nebraska",465
"Henry town, Tennessee",465
"Blum town, Texas",465
"Sicily Island village, Louisiana",464
"Emmet city, Arkansas",464
"Thayer city, Kansas",464
"Byers city, Texas",464
"Franklintown borough, Pennsylvania",464
"Decatur village, Nebraska",464
"Towanda village, Illinois",464
"St. Cloud village, Wisconsin",464
"Brady Lake village, Ohio",464
"Kosse town, Texas",464
"Sulphur Rock town, Arkansas",464
"Yampa town, Colorado",464
"Webberville village, Texas",464
"Josephville village, Missouri",464
"Arbyrd city, Missouri",463
"Mullen village, Nebraska",463
"Hawthorn borough, Pennsylvania",463
"North Adams village, Michigan",463
"Allendale village, Illinois",463
"Follett city, Texas",463
"Weston city, Idaho",463
"Timbercreek Canyon village, Texas",463
"Nunn town, Colorado",463
"Louisville town, Alabama",462
"Danube city, Minnesota",462
"Kaleva village, Michigan",462
"Gadsden town, Tennessee",462
"Endeavor village, Wisconsin",462
"Lingle town, Wyoming",462
"Hermitage city, Missouri",462
"Ellsworth city, Minnesota",462
"Paden town, Oklahoma",462
"Fromberg town, Montana",462
"Jenkins city, Minnesota",462
"Jackson town, North Carolina",461
"Kanopolis city, Kansas",461
"Bridgewater city, South Dakota",461
"Ocheyedan city, Iowa",461
"Crawfordsville town, Arkansas",461
"Munnsville village, New York",461
"Rutledge town, Alabama",461
"Glenbeulah village, Wisconsin",461
"Knapp village, Wisconsin",461
"Cushman city, Arkansas",461
"Hayesville village, Ohio",461
"Fairview town, Alabama",461
"Forest Hills city, Kentucky",461
"Amber town, Oklahoma",461
"Marshall city, Alaska",461
"Bear Creek village, Texas",461
"Van Buren village, Ohio",461
"Fredonia borough, Pennsylvania",460
"Bowen village, Illinois",460
"Hatley town, Mississippi",460
"Menlo city, Georgia",460
"Cornell village, Illinois",460
"Big Stone City city, South Dakota",460
"Tull town, Arkansas",460
"Midway town, Alabama",459
"Angoon city, Alaska",459
"Mecosta village, Michigan",459
"Mosier city, Oregon",459
"Lane town, South Carolina",458
"Calion city, Arkansas",458
"Fithian village, Illinois",458
"Beersheba Springs town, Tennessee",458
"Pasadena Park village, Missouri",458
"Richmond city, Kansas",458
"Turkey Creek village, Louisiana",458
"Milton town, Indiana",457
"Versailles village, Illinois",457
"Valley Falls village, New York",457
"Beecher City village, Illinois",457
"Grand View city, Idaho",457
"Jerome town, Arizona",457
"Alleman city, Iowa",457
"Lockhart town, South Carolina",456
"Gilt Edge city, Tennessee",456
"Waite Hill village, Ohio",456
"Martinsville village, Ohio",456
"Lamont city, Iowa",456
"Qulin city, Missouri",456
"Drummond town, Oklahoma",456
"Mount Crawford town, Virginia",456
"St. Paul city, Oregon",456
"Lanesboro borough, Pennsylvania",455
"Cherry village, Illinois",455
"Roann town, Indiana",455
"Gustine town, Texas",455
"Essex city, Missouri",455
"Bayard city, Iowa",455
"Calhoun city, Missouri",455
"Cobb village, Wisconsin",455
"Strong City city, Kansas",454
"Skellytown town, Texas",454
"Greentop city, Missouri",454
"North Powder city, Oregon",454
"Marquette city, Iowa",454
"Glasco city, Kansas",453
"South Bethlehem borough, Pennsylvania",453
"Vanderbilt borough, Pennsylvania",453
"Michigantown town, Indiana",453
"Bryant city, South Dakota",453
"Point Arena city, California",453
"Emerado city, North Dakota",453
"Marston city, Missouri",452
"Shuqualak town, Mississippi",452
"Jamesville town, North Carolina",452
"Summerhill borough, Pennsylvania",452
"Mount Auburn village, Illinois",452
"Bakersville town, North Carolina",452
"Reyno city, Arkansas",452
"Kellogg city, Minnesota",452
"Fawn Grove borough, Pennsylvania",452
"Wilkinson town, Indiana",452
"Norbourne Estates city, Kentucky",452
"Orchid town, Florida",452
"Jupiter Inlet Colony town, Florida",452
"Edgar city, Nebraska",451
"Cheriton town, Virginia",451
"Carmichaels borough, Pennsylvania",451
"Branson West city, Missouri",451
"Arlington city, Kansas",451
"Cosmos city, Minnesota",451
"Beallsville borough, Pennsylvania",451
"Bondville village, Illinois",451
"Winthrop town, Washington",451
"Norwich city, Kansas",450
"Nelson city, Nebraska",450
"Fries town, Virginia",450
"Avery town, Texas",450
"Panama village, New York",450
"Fossil city, Oregon",450
"Broad Top City borough, Pennsylvania",450
"Sprague city, Washington",450
"Avondale city, Missouri",450
"Glen St. Mary town, Florida",450
"Butte Falls town, Oregon",450
"Richmond village, Ohio",449
"Springboro borough, Pennsylvania",449
"Titonka city, Iowa",449
"Noxapater town, Mississippi",449
"Kennard town, Indiana",449
"Otterville city, Missouri",449
"Plymouth town, Utah",449
"Moreland town, Georgia",449
"Clay town, West Virginia",448
"Oglesby city, Texas",448
"Shippenville borough, Pennsylvania",448
"West Manchester village, Ohio",448
"Holland Patent village, New York",448
"Hudson town, Wyoming",448
"Cunningham city, Kansas",448
"Camargo village, Illinois",448
"Manokotak city, Alaska",448
"Thompsonville village, Michigan",448
"Randolph city, Minnesota",448
"Briarwood city, Kentucky",448
"Rothbury village, Michigan",448
"Moorland city, Kentucky",448
"Twin Bridges town, Montana",448
"Murdo city, South Dakota",447
"Cawker City city, Kansas",447
"Funston city, Georgia",447
"Ephesus city, Georgia",447
"Millsap town, Texas",447
"Harrison town, Georgia",446
"Fessenden city, North Dakota",446
"Rockford town, Alabama",446
"South Heights borough, Pennsylvania",446
"Coleridge village, Nebraska",446
"Keytesville city, Missouri",446
"Ravenden town, Arkansas",446
"New Era village, Michigan",446
"Gustavus city, Alaska",446
"Weippe city, Idaho",446
"Leakey city, Texas",446
"Ideal city, Georgia",445
"Karnak village, Illinois",445
"Lattimore town, North Carolina",445
"Farragut city, Iowa",445
"Scammon city, Kansas",445
"Mount Pleasant village, Ohio",445
"Sacramento city, Kentucky",445
"Guys town, Tennessee",445
"Buckner village, Illinois",445
"Island city, Kentucky",445
"Senecaville village, Ohio",445
"Buffalo Springs village, Texas",445
"Elk Park town, North Carolina",445
"Irondale city, Missouri",445
"Merrimac village, Wisconsin",445
"Industry village, Illinois",444
"Leicester village, New York",444
"Chattanooga town, Oklahoma",444
"Bridgeton town, North Carolina",444
"La Grange town, Wyoming",444
"Ashby city, Minnesota",444
"Arden village, Delaware",444
"South Prairie town, Washington",444
"Lodge Grass town, Montana",444
"Gloria Glens Park village, Ohio",444
"Spalding village, Nebraska",443
"Montrose city, South Dakota",443
"Dix village, Illinois",443
"New Auburn city, Minnesota",443
"Townsend city, Tennessee",443
"Emery city, South Dakota",443
"Baileyton town, Tennessee",443
"Medicine Park town, Oklahoma",443
"Glenburn city, North Dakota",443
"Strasburg village, Illinois",442
"Weir town, Mississippi",442
"Clarksburg village, Ohio",442
"Coloma village, Wisconsin",442
"Bigfork city, Minnesota",442
"Herman city, Minnesota",442
"Whitesville town, West Virginia",441
"Neponset village, Illinois",441
"Prairie Farm village, Wisconsin",441
"Hodge village, Louisiana",441
"Bear Creek village, Wisconsin",441
"Mount Enterprise city, Texas",441
"Offerman city, Georgia",441
"Emerson city, Iowa",441
"Leedey town, Oklahoma",441
"Akeley city, Minnesota",441
"Huntsville village, Ohio",441
"Oakesdale town, Washington",441
"Gallatin city, Texas",441
"Hornbeck town, Louisiana",440
"Newburg city, Missouri",440
"Bucklin city, Missouri",440
"Almond village, New York",440
"Mount Vernon city, South Dakota",440
"Thornburg borough, Pennsylvania",440
"Belmont village, Ohio",440
"Murray City village, Ohio",440
"Dillwyn town, Virginia",440
"Hayesville town, North Carolina",440
"Brushton village, New York",439
"Kensington city, Kansas",439
"Cleveland town, Utah",439
"Ewing city, Missouri",439
"Bloomingdale village, Michigan",439
"D'Lo town, Mississippi",439
"Miles city, Iowa",439
"Edison village, Ohio",439
"Sigurd town, Utah",439
"Woodland village, Michigan",439
"Floyd town, Virginia",439
"Riverdale city, Iowa",439
"Monroe Center village, Illinois",438
"Florence city, Kansas",438
"Bolivar borough, Pennsylvania",438
"Little Rock city, Iowa",438
"Mechanicsville borough, Pennsylvania",438
"Delta city, Missouri",438
"Wapanucka town, Oklahoma",438
"Washburn city, Missouri",438
"Highland Haven city, Texas",438
"Maupin city, Oregon",438
"River Bluff city, Kentucky",438
"Cinco Bayou town, Florida",438
"Cherry Creek village, New York",437
"Garrett borough, Pennsylvania",437
"Ellsinore city, Missouri",437
"Grimesland town, North Carolina",437
"Wheeler city, Oregon",437
"Mansfield city, Georgia",437
"Hunts Point town, Washington",437
"Ellendale town, Delaware",437
"Fenwick Island town, Delaware",437
"DISH town, Texas",437
"Chase city, Kansas",436
"Meadville city, Missouri",436
"Leonardville city, Kansas",436
"Potwin city, Kansas",436
"Matewan town, West Virginia",435
"Kismet city, Kansas",435
"Huntington city, Oregon",435
"Dry Prong village, Louisiana",435
"Fountain town, North Carolina",435
"Jerry City village, Ohio",435
"Alberton town, Montana",435
"Meadowview Estates city, Kentucky",435
"Benham city, Kentucky",434
"Ridgeway city, Missouri",434
"Ernest borough, Pennsylvania",434
"Hull village, Illinois",434
"Leola city, South Dakota",434
"Novinger city, Missouri",434
"Beaver village, Ohio",434
"Bird City city, Kansas",434
"Wykoff city, Minnesota",434
"Birchwood village, Wisconsin",434
"Edgewood village, Illinois",434
"Junction City village, Wisconsin",434
"Wynona town, Oklahoma",434
"Jasper city, Arkansas",433
"Perrysville town, Indiana",433
"Almond village, Wisconsin",433
"Long Branch borough, Pennsylvania",433
"Glen Elder city, Kansas",433
"Galena city, Missouri",433
"Spavinaw town, Oklahoma",433
"Herrick village, Illinois",433
"Rosholt town, South Dakota",433
"Abbeville town, Mississippi",433
"Fruitvale city, Texas",433
"Hewlett Bay Park village, New York",433
"North Carrollton town, Mississippi",432
"Macclesfield town, North Carolina",432
"Parish village, New York",432
"Three Springs borough, Pennsylvania",432
"Shidler city, Oklahoma",432
"Converse village, Louisiana",432
"Waltonville village, Illinois",432
"Orland town, Indiana",432
"Claypool town, Indiana",432
"Centertown city, Kentucky",432
"Hampton village, Nebraska",432
"Ridgeside city, Tennessee",432
"Clarksville city, Missouri",431
"Hanover village, Michigan",431
"Tionesta borough, Pennsylvania",430
"Ramey borough, Pennsylvania",430
"South Renovo borough, Pennsylvania",430
"Troutville town, Virginia",430
"Teachey town, North Carolina",430
"Ipava village, Illinois",429
"Washington Park town, North Carolina",429
"Pleasant City village, Ohio",429
"Avinger town, Texas",429
"Evening Shade city, Arkansas",429
"Greeley Center village, Nebraska",428
"Rices Landing borough, Pennsylvania",428
"Bell City city, Missouri",428
"McCool Junction village, Nebraska",428
"Lava Hot Springs city, Idaho",428
"Nuiqsut city, Alaska",428
"Iola city, Texas",428
"Christine town, Texas",428
"German Valley village, Illinois",427
"Barton town, Maryland",427
"Clarendon borough, Pennsylvania",427
"Encampment town, Wyoming",427
"Attapulgus city, Georgia",427
"McLain town, Mississippi",427
"Neshkoro village, Wisconsin",427
"Milano city, Texas",427
"Williams Creek town, Indiana",427
"Winslow city, Arkansas",427
"Topsail Beach town, North Carolina",427
"Atlantic Beach town, South Carolina",427
"Cooperstown borough, Pennsylvania",426
"Ashton city, Iowa",426
"Ketchum town, Oklahoma",426
"Rose Hill Acres city, Texas",426
"Freeburg village, Missouri",426
"Vail city, Iowa",426
"Ochelata town, Oklahoma",426
"Buckland city, Alaska",426
"Leigh village, Nebraska",426
"Taylor village, Mississippi",426
"Richburg village, New York",425
"Kennedy town, Alabama",425
"De Land village, Illinois",425
"Uplands Park village, Missouri",425
"Sturgeon Lake city, Minnesota",425
"Goldonna village, Louisiana",425
"Sugar Grove village, Ohio",425
"St. Helena village, North Carolina",425
"New Germany city, Minnesota",425
"Benoit town, Mississippi",424
"Lindsey village, Ohio",424
"Campton city, Kentucky",424
"Artesia town, Mississippi",424
"Cement City village, Michigan",424
"Conesville city, Iowa",424
"Crawford town, Colorado",424
"Morrison town, Colorado",424
"Upsala city, Minnesota",424
"Angus city, Texas",424
"Purcell city, Missouri",424
"Niangua city, Missouri",424
"Everglades city, Florida",424
"Caswell Beach town, North Carolina",424
"Poplar Hills city, Kentucky",424
"West Jefferson town, Alabama",424
"Spencer village, Nebraska",423
"Stanton town, Tennessee",423
"Lewis city, Kansas",423
"Sublette village, Illinois",423
"Belleville city, Arkansas",423
"Ansley village, Nebraska",423
"Ropesville city, Texas",423
"Fredericksburg village, Ohio",423
"Eden city, Idaho",423
"Marion Center borough, Pennsylvania",422
"Holyrood city, Kansas",422
"Alta Vista city, Kansas",422
"Rudolph village, Wisconsin",422
"Oklee city, Minnesota",422
"New Hebron town, Mississippi",421
"Sandyfield town, North Carolina",421
"Finley city, North Dakota",421
"Mapleton borough, Pennsylvania",421
"Union Star town, Missouri",421
"Fisher city, Minnesota",421
"Hixton village, Wisconsin",421
"Miltona city, Minnesota",421
"Vermillion city, Minnesota",421
"Tehama city, California",421
"Bonanza town, Oregon",421
"Rose Creek city, Minnesota",421
"Silas town, Alabama",420
"Melvin village, Illinois",420
"Meadville town, Mississippi",420
"Kinde village, Michigan",420
"Cutler village, Illinois",420
"Osyka town, Mississippi",420
"Minnesott Beach town, North Carolina",420
"Humboldt village, Illinois",420
"Wyoming village, New York",420
"Brady village, Nebraska",420
"Amo town, Indiana",420
"Greeley County unified government (balance), Kansas",419
"Midland town, Maryland",419
"Lafayette village, Ohio",419
"Bentonia town, Mississippi",419
"Lawler city, Iowa",419
"Manzanola town, Colorado",419
"Waveland town, Indiana",419
"Riggins city, Idaho",419
"Savannah village, Ohio",419
"Hulett town, Wyoming",419
"Hilda town, South Carolina",418
"Baggs town, Wyoming",418
"Randlett town, Oklahoma",418
"Bellwood village, Nebraska",418
"Galva city, Iowa",418
"Blue River village, Wisconsin",418
"Birdseye town, Indiana",418
"Marysvale town, Utah",418
"College Corner village, Ohio",418
"Birmingham city, Iowa",417
"Leslie city, Arkansas",417
"Herreid city, South Dakota",417
"Salemburg town, North Carolina",417
"Parkerfield city, Kansas",417
"Readstown village, Wisconsin",417
"South Heart city, North Dakota",417
"Cochrane village, Wisconsin",416
"Parkton town, North Carolina",416
"Maynard town, Arkansas",416
"Clinton city, Minnesota",415
"Ruth town, North Carolina",415
"Plainfield city, Iowa",415
"Rosslyn Farms borough, Pennsylvania",415
"Harrington city, Washington",415
"Osborn city, Missouri",415
"Bussey city, Iowa",415
"Stovall town, North Carolina",415
"Haines city, Oregon",415
"Mount Pleasant town, Arkansas",415
"Highland Lake town, Alabama",415
"Tiger town, Georgia",415
"Richlawn city, Kentucky",415
"Beaver Crossing village, Nebraska",415
"St. Michael city, Alaska",415
"Wrenshall city, Minnesota",415
"Victor city, Colorado",415
"Vanleer town, Tennessee",415
"Cooter city, Missouri",414
"Eldorado town, Oklahoma",414
"Mattoon village, Wisconsin",414
"Sipsey town, Alabama",414
"Fort Coffee town, Oklahoma",414
"New Vienna city, Iowa",414
"Leonard village, Michigan",414
"Salley town, South Carolina",414
"Yantis town, Texas",414
"Williamsburg village, New Mexico",413
"Whiteface town, Texas",413
"Gage town, Oklahoma",413
"Rome borough, Pennsylvania",413
"Earling city, Iowa",413
"Carlisle town, South Carolina",413
"Deepwater city, Missouri",413
"Weldon village, Illinois",413
"Faith city, South Dakota",413
"Bloomingburg village, New York",413
"Nevis city, Minnesota",413
"Kingston village, Michigan",412
"Lake Arthur town, New Mexico",412
"Waynesville village, Illinois",412
"Irene city, South Dakota",412
"Millstone borough, New Jersey",412
"Rocky Ridge village, Ohio",412
"Barrett city, Minnesota",412
"Martin village, Michigan",412
"Napaskiak city, Alaska",412
"McCune city, Kansas",412
"Tribbey town, Oklahoma",412
"Hawkeye city, Iowa",411
"Royal city, Iowa",411
"Leaf River village, Illinois",411
"Shubuta town, Mississippi",411
"Burlison town, Tennessee",411
"Benson village, Illinois",411
"Weaubleau city, Missouri",411
"Urbana city, Missouri",411
"Ronda town, North Carolina",411
"Glen town, Mississippi",411
"Asher town, Oklahoma",411
"Wolsey town, South Dakota",411
"Winchester city, Idaho",411
"Long Beach city, Minnesota",411
"Edna city, Kansas",410
"Boydton town, Virginia",410
"Eastman village, Wisconsin",410
"Lanagan town, Missouri",410
"Centre Island village, New York",410
"Colony city, Kansas",410
"Oliver village, Wisconsin",410
"Ullin village, Illinois",409
"Ravenwood town, Missouri",409
"Kane village, Illinois",409
"Andrew city, Iowa",409
"Forestville village, Wisconsin",409
"Orbisonia borough, Pennsylvania",409
"Hartford village, Ohio",409
"Mud Lake city, Idaho",409
"Finleyville borough, Pennsylvania",408
"Lost Nation city, Iowa",408
"Vaughn town, New Mexico",408
"Winside village, Nebraska",408
"Evant town, Texas",408
"Tabor town, South Dakota",408
"Powers village, Michigan",408
"Keyesport village, Illinois",408
"Fairfield city, Idaho",408
"Orestes town, Indiana",408
"St. Rose village, Illinois",407
"Gunnison town, Mississippi",407
"Wyndmere city, North Dakota",407
"Mystic city, Iowa",407
"Fanshawe town, Oklahoma",407
"Edisto Beach town, South Carolina",407
"Assaria city, Kansas",407
"Hazel city, Kentucky",407
"Cedar Creek village, Nebraska",407
"Orchard city, Texas",407
"Cumming city, Iowa",407
"Hemingway town, South Carolina",406
"Rolling Hills town, Wyoming",406
"Wood Lake city, Minnesota",406
"Sandborn town, Indiana",406
"New Market city, Iowa",406
"Romeo town, Colorado",406
"Platte Woods city, Missouri",406
"Malcolm village, Nebraska",406
"Peachland town, North Carolina",405
"Burkeville town, Virginia",405
"Casey city, Iowa",405
"Pleasant Groves town, Alabama",405
"Saunemin village, Illinois",405
"Hurley city, South Dakota",405
"Fountain city, Minnesota",405
"Ranburne town, Alabama",405
"Lomax village, Illinois",404
"Bonaparte city, Iowa",404
"Irvington town, Virginia",404
"Platea borough, Pennsylvania",404
"Warm Springs city, Georgia",404
"Thornton city, Iowa",404
"Elmo town, Utah",404
"Delaware town, Oklahoma",404
"Crown City village, Ohio",404
"Rosebud city, Missouri",404
"Fleming town, Colorado",404
"Fairview town, West Virginia",404
"Waubun city, Minnesota",404
"Basalt city, Idaho",404
"Fifty Lakes city, Minnesota",404
"Houston town, Delaware",404
"Shorter town, Alabama",403
"Kingsland city, Arkansas",403
"Portia town, Arkansas",403
"Richland town, Indiana",403
"Stanhope city, Iowa",403
"Clearwater village, Nebraska",403
"Hancock village, Wisconsin",403
"Saratoga town, North Carolina",403
"Loda village, Illinois",403
"Trimble village, Ohio",403
"Bay View Gardens village, Illinois",403
"Calamus city, Iowa",402
"Crowder town, Oklahoma",402
"Sumner town, Georgia",402
"Clyman village, Wisconsin",402
"Onekama village, Michigan",402
"Centralhatchee town, Georgia",402
"Higgins city, Texas",402
"Kanarraville town, Utah",402
"Patterson city, Arkansas",401
"Lewis city, Iowa",401
"Arlington city, Iowa",401
"Westhope city, North Dakota",401
"Sadorus village, Illinois",401
"Pigeon Falls village, Wisconsin",401
"Axtell city, Kansas",401
"Grand River village, Ohio",401
"Mesick village, Michigan",401
"Brevig Mission city, Alaska",401
"South Vienna village, Ohio",401
"Grady city, Arkansas",400
"Lone Wolf town, Oklahoma",400
"Estral Beach village, Michigan",400
"Willow River city, Minnesota",400
"Ripley town, Oklahoma",400
"Hermosa town, South Dakota",400
"Kurten town, Texas",400
"Beverly Beach town, Florida",400
"Cameron town, South Carolina",399
"Harrod village, Ohio",399
"Stringtown town, Oklahoma",399
"Gayville town, South Dakota",399
"Bloomburg town, Texas",399
"Hubbardston village, Michigan",399
"Glendale town, Utah",399
"Edom city, Texas",399
"Summerfield village, Illinois",398
"Gilbert town, West Virginia",398
"Jewell city, Kansas",398
"Hale city, Missouri",398
"Rayland village, Ohio",398
"Milford village, New York",398
"Weissport borough, Pennsylvania",398
"Corder city, Missouri",398
"Worthington city, Iowa",398
"Twin Oaks village, Missouri",398
"Jamestown town, Missouri",398
"Holmesville village, Ohio",398
"Sand City city, California",398
"Sinclair town, Wyoming",397
"Lehigh city, Iowa",397
"Lagro town, Indiana",397
"Hopewell village, Illinois",397
"Howardwick city, Texas",397
"Williamsburg city, Kansas",397
"Clarksville village, Michigan",397
"Blanca town, Colorado",397
"Bayview town, Texas",397
"Kendleton city, Texas",397
"Cedar Fort town, Utah",397
"Hartsville town, Indiana",397
"Hornbeak town, Tennessee",396
"Medora village, Illinois",396
"Gibson town, Tennessee",396
"Staley town, North Carolina",396
"Alpena town, Arkansas",396
"Troy town, Indiana",396
"Hobart village, New York",395
"Portland city, Arkansas",395
"Edmondson town, Arkansas",395
"East Duke town, Oklahoma",395
"Gilman village, Wisconsin",395
"Pine Springs city, Minnesota",395
"Elkhart village, Illinois",395
"Fredonia city, Kentucky",395
"Lynnville city, Iowa",395
"La Crosse town, Florida",395
"Dowelltown town, Tennessee",395
"Milton city, Iowa",394
"Stapleton city, Georgia",394
"Soso town, Mississippi",394
"Bowlegs town, Oklahoma",394
"Terral town, Oklahoma",394
"Oak Grove town, Arkansas",394
"Westwood Hills city, Kansas",394
"Akiak city, Alaska",394
"New Haven village, Illinois",393
"Ethel town, Mississippi",393
"Lamont town, Oklahoma",393
"Wasco city, Oregon",393
"Wiley town, Colorado",393
"Morrisville town, Missouri",393
"Kingsley city, Kentucky",393
"Hydaburg city, Alaska",393
"Lake Bridgeport city, Texas",393
"Huntleigh city, Missouri",393
"Brisbin borough, Pennsylvania",392
"Barnhill village, Ohio",392
"Kilbourne village, Louisiana",391
"Duncombe city, Iowa",391
"Hookerton town, North Carolina",391
"Hanoverton village, Ohio",391
"Gypsum city, Kansas",391
"Cove City town, North Carolina",391
"Lucas city, Kansas",391
"Linwood city, Kansas",391
"Thornton city, Arkansas",390
"Bennett city, Iowa",390
"Midwest town, Wyoming",390
"Lohrville village, Wisconsin",390
"Dover town, North Carolina",390
"McHenry city, Kentucky",390
"Chireno city, Texas",390
"Scotts Mills city, Oregon",390
"Bunker city, Missouri",389
"Perrinton village, Michigan",389
"Twin town, Alabama",389
"Gordonville village, Missouri",389
"Grandfalls town, Texas",389
"Jordan town, Montana",389
"Ocean Breeze town, Florida",388
"Warwick city, Georgia",388
"Greens Fork town, Indiana",388
"Montross town, Virginia",388
"Maddock city, North Dakota",388
"Oakview village, Missouri",388
"Remer city, Minnesota",388
"Duck town, North Carolina",388
"St. Marys Point city, Minnesota",388
"Oak Valley town, Texas",388
"Alma town, Texas",388
"Greeleyville town, South Carolina",387
"Sparkman city, Arkansas",387
"Mill Village borough, Pennsylvania",387
"Manorville borough, Pennsylvania",387
"Jane Lew town, West Virginia",387
"Lake City town, Colorado",387
"Stanford town, Montana",387
"Wausau town, Florida",387
"Dewey Beach town, Delaware",387
"Dearing city, Kansas",386
"Duncan town, Mississippi",386
"Joy village, Illinois",386
"Dowell village, Illinois",386
"Wells River village, Vermont",386
"Whitefield town, Oklahoma",386
"Midway town, Arkansas",386
"Retreat town, Texas",386
"Stanardsville town, Virginia",386
"Bostwick city, Georgia",386
"Salix city, Iowa",386
"Windsor Heights village, West Virginia",385
"Hatfield town, Arkansas",385
"Linn city, Kansas",385
"Windthorst town, Texas",385
"Perry village, Illinois",385
"Huxley city, Texas",385
"Reklaw city, Texas",385
"Holden town, Utah",385
"St. Louisville village, Ohio",385
"Dodd City town, Texas",385
"Turkey city, Texas",384
"Thomaston town, Alabama",384
"Table Grove village, Illinois",384
"Saxman city, Alaska",384
"Oktaha town, Oklahoma",384
"Tullos town, Louisiana",384
"Bancroft city, Idaho",384
